Type,ActivityID,Status
UAT,UAT001_R2R_100,Not Started
UAT,UAT001_R2R_101,Not Started
UAT,UAT001_R2R_102,Not Started
UAT,UAT001_R2R_103,Not Started
UAT,UAT001_R2R_104,Not Started
UAT,UAT001_R2R_105,Not Started
UAT,UAT001_R2R_106,Not Started
UAT,UAT002_REFX_100,Not Started
UAT,UAT002_REFX_101,Not Started
UAT,UAT002_REFX_102,Not Started
UAT,UAT002_REFX_103,Not Started
UAT,UAT002_REFX_300,Not Started
UAT,UAT003_REFX_203,Not Started
UAT,UAT003_REFX_207,Not Started
UAT,UAT004_R2R_108,Not Started
UAT,UAT004_R2R_109,Not Started
UAT,UAT004_R2R_110,Not Started
UAT,UAT005_P2F_100,Not Started
UAT,UAT005_P2F_101,Not Started
UAT,UAT005_P2F_102,Not Started
UAT,UAT005_P2F_103,Not Started
UAT,UAT005_P2F_104,Not Started
UAT,UAT005_P2F_105,Not Started
UAT,UAT005_P2F_106,Not Started
UAT,UAT006_REFX_201,Not Started
UAT,UAT006_REFX_205,Not Started
UAT,UAT006_REFX_210,Not Started
UAT,UAT006_REFX_211,Not Started
UAT,UAT006_REFX_212,Not Started
UAT,UAT006_REFX_213,Not Started
UAT,UAT006_REFX_301,Not Started
UAT,UAT006_REFX_302,Not Started
UAT,UAT006_REFX_304,Not Started
UAT,UAT007_P2P_100,Not Started
UAT,UAT007_P2P_101,Not Started
UAT,UAT007_P2P_102,Not Started
UAT,UAT007_P2P_103,Not Started
UAT,UAT007_P2P_104,Not Started
UAT,UAT008_P2F_200,Not Started
UAT,UAT008_P2F_201,Not Started
UAT,UAT009_R2R_200,Not Started
UAT,UAT009_R2R_201,Not Started
UAT,UAT009_R2R_202,Not Started
UAT,UAT009_R2R_203,Not Started
UAT,UAT009_R2R_204,Not Started
UAT,UAT009_R2R_205,Not Started
UAT,UAT010_R2R_206,Not Started
UAT,UAT010_R2R_207,Not Started
UAT,UAT010_R2R_208,Not Started
UAT,UAT011_REFX_200,Not Started
UAT,UAT011_REFX_204,Not Started
UAT,UAT011_REFX_208,Not Started
UAT,UAT012_E2E_201,Not Started
UAT,UAT012_E2E_202,Not Started
UAT,UAT013_R&D_100,Not Started
UAT,UAT013_R&D_101,Not Started
UAT,UAT013_R&D_102,Not Started
UAT,UAT013_R&D_103,Not Started
UAT,UAT013_R&D_104,Not Started
UAT,UAT013_R&D_105,Not Started
UAT,UAT014_C&DM_100,Not Started
UAT,UAT014_C&DM_101,Not Started
UAT,UAT014_C&DM_102,Not Started
UAT,UAT014_C&DM_103,Not Started
UAT,UAT014_C&DM_104,Not Started
UAT,UAT014_C&DM_105,Not Started
UAT,UAT015_P2C_100,Not Started
UAT,UAT015_P2C_102,Not Started
UAT,UAT016_R&D_106,Not Started
UAT,UAT016_R&D_107,Not Started
UAT,UAT016_R&D_108,Not Started
UAT,UAT016_R&D_109,Not Started
UAT,UAT016_R&D_110,Not Started
UAT,UAT017_P2F_300,Not Started
UAT,UAT017_P2F_301,Not Started
UAT,UAT017_P2F_302,Not Started
UAT,UAT017_P2F_303,Not Started
UAT,UAT018_R2R_220,Not Started
UAT,UAT018_R2R_221,Not Started
UAT,UAT018_R2R_222,Not Started
UAT,UAT018_R2R_223,Not Started
UAT,UAT019_C&DM_200,Not Started
UAT,UAT019_C&DM_201,Not Started
UAT,UAT019_C&DM_202,Not Started
UAT,UAT019_C&DM_203,Not Started
UAT,UAT020_P2F_303,Not Started
UAT,UAT020_P2F_304,Not Started
UAT,UAT020_P2F_305,Not Started
UAT,UAT020_P2F_306,Not Started
UAT,UAT021_P2P_200,Not Started
UAT,UAT021_P2P_201,Not Started
UAT,UAT021_P2P_202,Not Started
UAT,UAT021_P2P_203,Not Started
UAT,UAT022_C&DM_204,Not Started
UAT,UAT022_C&DM_205,Not Started
UAT,UAT022_C&DM_206,Not Started
UAT,UAT022_C&DM_207,Not Started
UAT,UAT023_R2R_224,Not Started
UAT,UAT023_R2R_225,Not Started
UAT,UAT023_R2R_226,Not Started
UAT,UAT023_R2R_227,Not Started
UAT,UAT024_R&D_200,Not Started
UAT,UAT024_R&D_201,Not Started
UAT,UAT024_R&D_202,Not Started
UAT,UAT024_R&D_203,Not Started
UAT,UAT024_R&D_204,Not Started
UAT,UAT025_R&D_205,Not Started
UAT,UAT025_R&D_206,Not Started
UAT,UAT025_R&D_207,Not Started
UAT,UAT025_R&D_208,Not Started
UAT,UAT026_REFX_202,Not Started
UAT,UAT026_REFX_206,Not Started
UAT,UAT026_REFX_209,Not Started
UAT,UAT026_REFX_303,Not Started
UAT,UAT027_P2C_200,Not Started
UAT,UAT027_P2C_201,Not Started
UAT,UAT028_R&D_300,Not Started
UAT,UAT028_R&D_301,Not Started
UAT,UAT029_C&DM_300,Not Started
UAT,UAT029_C&DM_301,Not Started
UAT,UAT029_C&DM_302,Not Started
UAT,UAT029_C&DM_303,Not Started
UAT,UAT029_C&DM_303,Not Started
UAT,UAT030_P2P_204,Not Started
UAT,UAT030_P2P_205,Not Started
UAT,UAT030_P2P_206,Not Started
UAT,UAT031_C&DM_204,Not Started
UAT,UAT031_C&DM_205,Not Started
UAT,UAT031_C&DM_206,Not Started
UAT,UAT031_C&DM_207,Not Started
UAT,UAT032_R2R_209,Not Started
UAT,UAT032_R2R_210,Not Started
UAT,UAT032_R2R_211,Not Started
UAT,UAT032_R2R_212,Not Started
UAT,UAT032_R2R_213,Not Started
UAT,UAT032_R2R_214,Not Started
UAT,UAT033_E2E_201,Not Started
UAT,UAT033_E2E_202,Not Started
UAT,UAT034_R&D_500,Not Started
UAT,UAT035_R2R_215,Not Started
UAT,UAT035_R2R_216,Not Started
UAT,UAT035_R2R_217,Not Started
UAT,UAT035_R2R_218,Not Started
UAT,UAT035_R2R_219,Not Started
UAT,UAT036_C&DM_400,Not Started
UAT,UAT036_C&DM_401,Not Started
UAT,UAT036_C&DM_402,Not Started
UAT,UAT036_C&DM_403,Not Started
UAT,UAT036_C&DM_404,Not Started
UAT,UAT036_C&DM_405,Not Started
UAT,UAT037_P2C_300,Not Started
UAT,UAT037_P2C_302,Not Started
UAT,UAT037_P2C_303,Not Started
UAT,UAT038_P2P_207,Not Started
UAT,UAT038_P2P_208,Not Started
UAT,UAT038_P2P_209,Not Started
UAT,UAT038_P2P_210,Not Started
UAT,UAT039_REFX_400,Not Started
UAT,UAT039_REFX_401,Not Started
UAT,UAT039_REFX_402,Not Started
UAT,UAT039_REFX_403,Not Started
UAT,UAT039_REFX_404,Not Started
UAT,UAT039_REFX_405,Not Started
UAT,UAT039_REFX_406,Not Started
UAT,UAT040_R&D_400,Not Started
UAT,UAT041_P2F_500,Not Started
UAT,UAT041_P2F_501,Not Started
UAT,UAT041_P2F_502,Not Started
UAT,UAT041_P2F_503,Not Started
UAT,UAT042_C&DM_406,Not Started
UAT,UAT042_C&DM_407,Not Started
UAT,UAT042_C&DM_408,Not Started
UAT,UAT042_C&DM_409,Not Started
UAT,UAT042_C&DM_410,Not Started
UAT,UAT042_C&DM_411,Not Started
UAT,UAT043_R2R_250,Not Started
UAT,UAT043_R2R_251,Not Started
UAT,UAT043_R2R_252,Not Started
UAT,UAT043_R2R_253,Not Started
UAT,UAT043_R2R_254,Not Started
UAT,UAT044_P2F_504,Not Started
UAT,UAT044_P2F_505,Not Started
UAT,UAT044_P2F_506,Not Started
UAT,UAT045_P2P_211,Not Started
UAT,UAT045_P2P_212,Not Started
UAT,UAT045_P2P_213,Not Started
UAT,UAT045_P2P_214,Not Started
UAT,UAT046_R2R_255,Not Started
UAT,UAT046_R2R_256,Not Started
UAT,UAT046_R2R_257,Not Started
UAT,UAT046_R2R_258,Not Started
UAT,UAT047_R&D_300,Not Started
UAT,UAT047_R&D_301,Not Started
UAT,UAT048_C&DM_500,Not Started
UAT,UAT048_C&DM_501,Not Started
UAT,UAT049_P2F_600,Not Started
UAT,UAT049_P2F_601,Not Started
UAT,UAT049_P2F_602,Not Started
UAT,UAT049_P2F_603,Not Started
UAT,UAT049_P2F_604,Not Started
UAT,UAT049_P2F_605,Not Started
UAT,UAT049_P2F_606,Not Started
UAT,UAT049_P2F_607,Not Started
UAT,UAT049_P2F_608,Not Started
UAT,UAT049_P2F_609,Not Started
UAT,UAT049_P2F_610,Not Started
UAT,UAT050_P2P_215,Not Started
UAT,UAT050_P2P_216,Not Started
UAT,UAT050_P2P_217,Not Started
UAT,UAT050_P2P_218,Not Started
UAT,UAT051_R2R_300,Not Started
UAT,UAT051_R2R_301,Not Started
UAT,UAT051_R2R_302,Not Started
UAT,UAT051_R2R_303,Not Started
UAT,UAT051_R2R_304,Not Started
UAT,UAT052_P2C_400,Not Started
UAT,UAT052_P2C_401,Not Started
UAT,UAT052_P2C_402,Not Started
UAT,UAT053_C&DM_600,Not Started
UAT,UAT053_C&DM_601,Not Started
UAT,UAT053_C&DM_602,Not Started
UAT,UAT053_C&DM_603,Not Started
UAT,UAT054_R2R_305,Not Started
UAT,UAT054_R2R_306,Not Started
UAT,UAT054_R2R_307,Not Started
UAT,UAT054_R2R_308,Not Started
UAT,UAT055_P2F_700,Not Started
UAT,UAT055_P2F_701,Not Started
UAT,UAT055_P2F_702,Not Started
UAT,UAT056_C&DM_604,Not Started
UAT,UAT056_C&DM_605,Not Started
UAT,UAT056_C&DM_606,Not Started
UAT,UAT056_C&DM_607,Not Started
UAT,UAT057_P2P_300i,Not Started
UAT,UAT057_P2P_300,Not Started
UAT,UAT057_P2P_302,Not Started
UAT,UAT057_P2P_400i,Not Started
UAT,UAT057_P2P_400,Not Started
UAT,UAT057_P2P_401,Not Started
UAT,UAT057_P2P_402,Not Started
UAT,UAT058_R2R_400,Not Started
UAT,UAT058_R2R_401,Not Started
UAT,UAT058_R2R_402,Not Started
UAT,UAT058_R2R_403,Not Started
UAT,UAT058_R2R_404,Not Started
UAT,UAT059_P2F_800i,Not Started
UAT,UAT059_P2F_800,Not Started
