Type,Session Code,Session Name,ActivityID,Scenario,Action/ Description
UAT,UAT001,R2R: Master Data : Finance and Controlling,UAT001_R2R_100,UAT_R2R_100 Maintain Business Partner (General and Finance Views),
UAT,UAT001,R2R: Master Data : Finance and Controlling,UAT001_R2R_101,UAT_R2R_101 Maintain GL Account,
UAT,UAT001,R2R: Master Data : Finance and Controlling,UAT001_R2R_102,UAT_R2R_102 Maintain Cost Center,
UAT,UAT001,R2R: Master Data : Finance and Controlling,UAT001_R2R_103,UAT_R2R_103 Maintain Profit Center,
UAT,UAT001,R2R: Master Data : Finance and Controlling,UAT001_R2R_104,UAT_R2R_104 Maintain Asset Master Data (Manually),
UAT,UAT001,R2R: Master Data : Finance and Controlling,UAT001_R2R_105,UAT_R2R_105 Maintain Funds Center,
UAT,UAT001,R2R: Master Data : Finance and Controlling,UAT001_R2R_106,UAT_R2R_106 Maintain Commitment Item,
UAT,UAT001,R2R: Master Data : Finance and Controlling,UAT001_R2R_107,UAT_R2R_107 Maintain Budget Address,
UAT,UAT001,R2R: Master Data : Finance and Controlling,UAT001_R2R_108,UAT_R2R_108 Maintain House Bank,
UAT,UAT001,R2R: Master Data : Finance and Controlling,UAT001_R2R_109,UAT_R2R_109 Maintain Bank Account,
UAT,UAT001,R2R: Master Data : Finance and Controlling,UAT001_R2R_110,UAT_R2R_110 Maintain Statistical Key Figure,
UAT,UAT002,REFX: Master Data + Master Data Report : Property Object,UAT002_REFX_100,UAT_REFX_100 Create Business Entity,
UAT,UAT002,REFX: Master Data + Master Data Report : Property Object,UAT002_REFX_101,UAT_REFX_101 Create Building,
UAT,UAT002,REFX: Master Data + Master Data Report : Property Object,UAT002_REFX_102,UAT_REFX_102 Create Property,
UAT,UAT002,REFX: Master Data + Master Data Report : Property Object,UAT002_REFX_103,UAT_REFX_103 Create Rental Object,
UAT,UAT002,REFX: Master Data + Master Data Report : Property Object,UAT002_REFX_300,UAT_REFX_300 Master Data Report,
UAT,UAT003,REFX: Contract Management : Internal Lease,UAT003_REFX_203,UAT_REFX_203 Create Contract - Internal Lease,https://employees-provident-fund-board-cloudalm.jp10.alm.cloud.sap/launchpad#test-displayTestCase?sap-app-origin-hint=&/manual/3b710d9b-b46f-4016-bb96-e902962c1c52/tab/content
UAT,UAT003,REFX: Contract Management : Internal Lease,UAT003_REFX_207,UAT_REFX_207 Modify Contract - Internal Lease,https://employees-provident-fund-board-cloudalm.jp10.alm.cloud.sap/launchpad#test-displayTestCase?sap-app-origin-hint=&/manual/c745dd49-c421-4e84-b269-c471dcabeca7/tab/content
UAT,UAT004,REP: SAC Report : Master Data + Financial Reporting 01,UAT004_R&D_100,UAT_R&D_100 Verify G/L Account Dimensions Hierarchies,
UAT,UAT004,REP: SAC Report : Master Data + Financial Reporting 01,UAT004_R&D_101,UAT_R&D_101 Verify Financial Model (Dimensions & Measures),
UAT,UAT004,REP: SAC Report : Master Data + Financial Reporting 01,UAT004_R&D_102,UAT_R&D_102 Verify Funds Model (Dimensions & Measures),
UAT,UAT004,REP: SAC Report : Master Data + Financial Reporting 01,UAT004_R&D_103,UAT_R&D_103 3rd Party Source - Eagle FVOCI (SFTP),
UAT,UAT004,REP: SAC Report : Master Data + Financial Reporting 01,UAT004_R&D_104,UAT_R&D_104 FVOCI Debt Report (FR),
UAT,UAT004,REP: SAC Report : Master Data + Financial Reporting 01,UAT004_R&D_105,UAT_R&D_105 3rd Party Source - Maturity Profile (SFTP),
UAT,UAT005,P2F: Master Data & Budget Initialization,UAT005_P2F_100,UAT_P2F_100 Import Master Data,
UAT,UAT005,P2F: Master Data & Budget Initialization,UAT005_P2F_101,UAT_P2F_101 Maintain Planning Horizon ,
UAT,UAT005,P2F: Master Data & Budget Initialization,UAT005_P2F_102,UAT_P2F_102 Maintain Master Data Properties / Auto Generate Properties,
UAT,UAT005,P2F: Master Data & Budget Initialization,UAT005_P2F_103,UAT_P2F_103 Price Maintenance,
UAT,UAT005,P2F: Master Data & Budget Initialization,UAT005_P2F_104,UAT_P2F_104 Contract Maintenance,
UAT,UAT005,P2F: Master Data & Budget Initialization,UAT005_P2F_105,UAT_P2F_105 Import and Exchange Rate Maintenance,
UAT,UAT005,P2F: Master Data & Budget Initialization,UAT005_P2F_106,UAT_P2F_106 Maintain KPI Driver,
UAT,UAT006,REFX: Contract Management : Lease Out,UAT006_REFX_201,UAT_REFX_201 Create Contract - Lease Out,
UAT,UAT006,REFX: Contract Management : Lease Out,UAT006_REFX_205,UAT_REFX_205 Modify Contract - Lease Out,
UAT,UAT006,REFX: Contract Management : Lease Out,UAT006_REFX_210,UAT_REFX_210 Perform Linearization Valuation,
UAT,UAT006,REFX: Contract Management : Lease Out,UAT006_REFX_211,UAT_REFX_211 Contract Reminder,
UAT,UAT006,REFX: Contract Management : Lease Out,UAT006_REFX_212,UAT_REFX_212 Renew Contract,
UAT,UAT006,REFX: Contract Management : Lease Out,UAT006_REFX_213,UAT_REFX_213 Terminate Contract,
UAT,UAT006,REFX: Contract Management : Lease Out,UAT006_REFX_301,UAT_REFX_301 Contract Overview Report,
UAT,UAT006,REFX: Contract Management : Lease Out,UAT006_REFX_302,UAT_REFX_302 Partner Cashflow Report,
UAT,UAT006,REFX: Contract Management : Lease Out,UAT006_REFX_304,UAT_REFX_304 Contract Reminder Report,
UAT,UAT007,P2P: Master Data : Material,UAT007_P2P_100,UAT_P2P_100 Maintain Vendor Master / BP Purchasing,
UAT,UAT007,P2P: Master Data : Material,UAT007_P2P_101,UAT_P2P_101 Ariba Supplier Onboarding,
UAT,UAT007,P2P: Master Data : Material,UAT007_P2P_102,UAT_P2P_102 Ariba Supplier Data Maintenance,
