Type,Session Code,Date,Day,Session,Room #,Value Chain,Training Module / Topic,Trainers/Support,EPF PIC,Virtual Room,Teams Link,Meeting ID,Meeting Passcode,AM,PM,Invitation Status
UAT,UAT001,10/08/2026,Monday,09:00 - 17:45,S06.13,R2R - Record to Report,Master Data : Finance and Controlling,Husaimi/Jen/Ardhya,JKEW_SDS-MDMDA,Virtual Room 01,https://teams.microsoft.com/meet/461920793413683?p=rD0CzJub0dK6wHJ1Et,461 920 793 413 683,LA3o4of2,Y,Y,Draft
UAT,UAT002,10/08/2026,Monday,09:00 - 12:30,S08.11,REFX - Lease In & Lease Out,Master Data + Master Data Report : Property Object,Anas,"JPH, JPEH, JKEW_FO-FA-ASET, JKEW_FO-FA-AR",Virtual Room 03,https://teams.microsoft.com/meet/424903206597708?p=lrmHbQOZ3ZY6uCYsmi,424 903 206 597 708,sV7aR6nE,Y,N,Draft
UAT,UAT003,10/08/2026,Monday,14:00 - 17:45,S08.11,REFX - Lease In & Lease Out,Contract Management : Internal Lease,Anas,"JKEW-FO-FA-AR, JKEW-FO-FA-MEC, JPH",Virtual Room 03,https://teams.microsoft.com/meet/424903206597708?p=lrmHbQOZ3ZY6uCYsmi,424 903 206 597 708,sV7aR6nE,N,Y,Draft
UAT,UAT004,11/08/2026,Tuesday,09:00 - 17:45,S05.01,REP - Report & Dashboard,SAC Report : Master Data + Financial Reporting 01,Max / Thomas / Michael,"JKEW_FPR-SR-FR, JKEW_FPR-FPA-MR",Virtual Room 14,https://teams.microsoft.com/meet/466182561419955?p=k6qY88yGBXADHy1P2t,466 182 561 419 955,Kn9hg9kG,Y,Y,Draft
UAT,UAT005,11/08/2026,Tuesday,09:00 - 17:45,N03.03,P2F - Plan to Forecast,Master Data & Budget Initialization,Yee Yin / Michael,"JKEW_SDS-MDMDA, JKEW_FPR-FPA-BCM",Virtual Room 04,https://teams.microsoft.com/meet/413932528538231?p=0NtQWKG2p8hubghPXU,413 932 528 538 231,bn7L9Kg7,Y,Y,Draft
UAT,UAT006,11/08/2026,Tuesday,09:00 - 17:45,S06.13,REFX - Lease In & Lease Out,Contract Management : Lease Out,Anas,"JKEW - FO-FA-AR, JPEH, JPH",Virtual Room 01,https://teams.microsoft.com/meet/461920793413683?p=rD0CzJub0dK6wHJ1Et,461 920 793 413 683,LA3o4of2,Y,Y,Draft
UAT,UAT007,12/08/2026,Wednesday,09:00 - 17:45,S06.13,P2P - Procure to Pay,Master Data : Material,Harith,"JKEW_SDS-MDMDA, JPPB, JPH",Virtual Room 01,https://teams.microsoft.com/meet/461920793413683?p=rD0CzJub0dK6wHJ1Et,461 920 793 413 683,LA3o4of2,Y,Y,Draft
UAT,UAT008,12/08/2026,Wednesday,09:00 - 17:45,S10.01,P2F - Plan to Forecast,Budget Request for Asset + Budget Request for Project,Yee Yin / Michael,JKEW_FPR-FPA-BCM,Virtual Room 05,https://teams.microsoft.com/meet/434217099294700?p=zdswx7vPzhyDEYy6Lj,434 217 099 294 700,zA7rY94S,Y,Y,Draft
UAT,UAT009,12/08/2026,Wednesday,09:00 - 17:45,N08.08,REP - Report & Dashboard,SAC Report : Master Data + Financial Reporting 02,Max / Thomas / Michael,"JKEW_FPR-SR-FR, JKEW_FPR-FPA-MR",Virtual Room 15,https://teams.microsoft.com/meet/483965098251247?p=D7Hx58UD7IIAPkQZnz,483 965 098 251 247,vH3FZ7JB,Y,Y,Draft
UAT,UAT010,46247,Thursday,09:00 - 17:45,N02.06,P2F - Plan to Forecast,Budget Request for OPEX and KPI 01,Yee Yin / Michael,"JKEW_FPR-FPA-BCM, Branch/ Department",Virtual Room 09,https://teams.microsoft.com/meet/458253024448441?p=buAcMESm5auuFTowNz,458 253 024 448 441,iM2L3d8J,Y,Y,Draft
UAT,UAT011,46247,Thursday,09:00 - 17:45,N02.01,R2R - Record to Report,Asset Accounting,Husaimi/Jen/Ardhya,JKEW_FO-FA-ASET,Virtual Room 08,https://teams.microsoft.com/meet/464625497134867?p=CrZomroHIetQ9yRmz4,464 625 497 134 867,y88K8a2z,Y,Y,Draft
UAT,UAT012,46247,Thursday,09:00 - 17:45,S06.09,"CDL - Consolidation, Disclosure, and Reporting",Preparation Activities,Sudharsan,"JKEW_FPR-SR, JKEW_SDS-MDMDA",Virtual Room 07,https://teams.microsoft.com/meet/446713140540322?p=aB0BE9GOge6OrxhAW4,446 713 140 540 322,Qp66nG7r,Y,Y,Draft
UAT,UAT013,46247,Thursday,09:00 - 17:45,S06.13,REP - Report & Dashboard,SAC Report : Master Data + Management Reporting 01,Max / Thomas / Michael,"JKEW_FPR-SR-FR, JKEW_FPR-FPA-MR",Virtual Room 01,https://teams.microsoft.com/meet/461920793413683?p=rD0CzJub0dK6wHJ1Et,461 920 793 413 683,LA3o4of2,Y,Y,Draft
UAT,UAT014,46251,Monday,09:00 - 17:45,N02.01,P2F - Plan to Forecast,Budget Request for OPEX and KPI 02,Yee Yin / Michael,"JKEW_FPR-FPA-BCM, Branch/ Department",Virtual Room 08,https://teams.microsoft.com/meet/464625497134867?p=CrZomroHIetQ9yRmz4,464 625 497 134 867,y88K8a2z,Y,Y,Draft
UAT,UAT015,46251,Monday,09:00 - 17:45,S09.07,P2C - Project to Close,Master Data : Project System,Fatir,"JKEW_SDS-MDMDA, Project Manager / Owner",Virtual Room 13,https://teams.microsoft.com/meet/456781618046499?p=ltgV5RiyDlIlZ6KrnN,456 781 618 046 499,jn2RM2G3,Y,Y,Draft
UAT,UAT016,46251,Monday,09:00 - 17:45,S06.13,REP - Report & Dashboard,SAC Report : Master Data + Management Reporting 02,Max / Thomas / Michael,"JKEW_FPR-SR-FR, JKEW_FPR-FPA-MR",Virtual Room 01,https://teams.microsoft.com/meet/461920793413683?p=rD0CzJub0dK6wHJ1Et,461 920 793 413 683,LA3o4of2,Y,Y,Draft
UAT,UAT017,46251,Monday,09:00 - 17:45,S06.17,REFX - Lease In & Lease Out,Contract Management : Lease in + Sub Lease,Anas,"JKEW-FO-FA-AR, JKEW-Asset, JKEW - FO-FA-MEC, JPH",Virtual Room 12,https://teams.microsoft.com/meet/48658904219661?p=VYINRWZPam7XGLqqxh,486 589 042 196 61,rk6Rk7xW,Y,Y,Draft
UAT,UAT018,46252,Tuesday,09:00 - 17:45,S07.09,REP - Report & Dashboard,SAC Dashboard : Master Data + Financial dashboard,Max / Thomas / Michael,"JKEW_FPR-SR-FR, JKEW_FPR-FPA-MR",Virtual Room 11,https://teams.microsoft.com/meet/478795693174198?p=xgNFmyImYxfOEEOSva,478 795 693 174 198,gx3ux7Rp,Y,Y,Draft
UAT,UAT019,46252,Tuesday,09:00 - 17:45,S06.13,R2R - Record to Report,Account Receivable,Husaimi/Jen/Ardhya,JKEW_FO-FA-AR,Virtual Room 01,https://teams.microsoft.com/meet/461920793413683?p=rD0CzJub0dK6wHJ1Et,461 920 793 413 683,LA3o4of2,Y,Y,Draft
UAT,UAT020,46252,Tuesday,09:00 - 17:45,N02.01,"CDL - Consolidation, Disclosure, and Reporting",Data Preparation Process (Fund Level Data),Sudharsan/May Wong,"JKEW_FPR-SR, JKEW_SDS-MDMDA",Virtual Room 08,https://teams.microsoft.com/meet/464625497134867?p=CrZomroHIetQ9yRmz4,464 625 497 134 867,y88K8a2z,Y,Y,Draft
UAT,UAT021,46252,Tuesday,09:00 - 17:45,S08.12,P2F - Plan to Forecast,"E5 Functional Review for Asset and OPEX	",Yee Yin / Michael,"JKEW_FPR-FPA-BCM, Branch/ Department",Virtual Room 06,https://teams.microsoft.com/meet/484557856056531?p=3JG7ax5sTHBWjtBfsE,484 557 856 056 531,PR3tq6gY,Y,Y,Draft
UAT,UAT022,46253,Wednesday,09:00 - 17:45,S06.13,P2P - Procure to Pay,Sourcing & Contract,Harith,"JKEW_SDS-MDMDA, JPPB, JPH",Virtual Room 01,https://teams.microsoft.com/meet/461920793413683?p=rD0CzJub0dK6wHJ1Et,461 920 793 413 683,LA3o4of2,Y,Y,Draft
UAT,UAT023,46253,Wednesday,09:00 - 17:45,N02.01,"CDL - Consolidation, Disclosure, and Reporting",Data Preparation Process (Group Level Data),Sudharsan/May Wong,"JKEW_FPR-SR, JKEW_SDS-MDMDA",Virtual Room 08,https://teams.microsoft.com/meet/464625497134867?p=CrZomroHIetQ9yRmz4,464 625 497 134 867,y88K8a2z,Y,Y,Draft
UAT,UAT024,46253,Wednesday,09:00 - 17:45,S06.08,REFX - Lease In & Lease Out,Reporting : Periodic Posting and Valuation,Anas,"JKEW-FO-FA-AR, JKEW-Asset, JKEW - FO-FA-MEC, JPH, JPEH",Virtual Room 10,https://teams.microsoft.com/meet/411464523878717?p=ObG8GMlrj8SnPKwj7m,411 464 523 878 717,389Bw396,Y,Y,Draft
